"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"Bloc Québécois","Canadian citizen",48,"A man","Some university","Self employed (with or without employees)",85000,"Married","Quebec"
"Liberal Party","Canadian citizen",29,"A woman","Bachelor's degree","Working for pay full-time",147000,"Living with a partner","Ontario"
"Bloc Québécois","Canadian citizen",66,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",74000,"Married","Quebec"
"ndp","Canadian citizen",29,"A woman","Master's degree","Working for pay full-time",58000,"Never Married","Ontario"
"Bloc Québécois","Canadian citizen",55,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",40000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",68,"A man","Some university","Self employed (with or without employees)",2e+05,"Married","Quebec"
"ndp","Canadian citizen",72,"A woman","Professional degree or doctorate","Working for pay part-time",2e+05,"Never Married","Quebec"
"Liberal Party","Canadian citizen",21,"A woman","Completed technical, community college, CEGEP, College Classique","Student",1e+05,"Never Married","Quebec"
"ndp","Canadian citizen",26,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",75000,"Never Married","Ontario"
"ndp","Canadian citizen",22,"A woman","Bachelor's degree","Student",80000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",46,"A man","Bachelor's degree","Working for pay full-time",96000,"Married","New Brunswick"
"ndp","Canadian citizen",64,"A man","Completed secondary/ high school","Working for pay part-time",95000,"Married","Manitoba"
"Conservative Party","Canadian citizen",76,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",58000,"Married","Alberta"
"Liberal Party","Canadian citizen",77,"A man","Master's degree","Retired",40000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",67,"A woman","Some elementary school","Retired",40000,"Married","Ontario"
"Green Party","Canadian citizen",62,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",44000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",66,"A woman","Master's degree","Retired and working for pay",1e+05,"Divorced","Quebec"
"Conservative Party","Canadian citizen",28,"A man","Bachelor's degree","Working for pay full-time",150000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",64,"A woman","Some technical, community college, CEGEP, College Classique","Retired",23000,"Divorced","Manitoba"
"Conservative Party","Canadian citizen",30,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",97898,"Never Married","Ontario"
"Bloc Québécois","Canadian citizen",49,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",52000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",71,"A woman","Master's degree","Retired",150000,"Married","Alberta"
"Liberal Party","Canadian citizen",43,"A man","Master's degree","Working for pay full-time",1e+05,"Separated","Quebec"
"Liberal Party","Canadian citizen",47,"A woman","Some university","Working for pay full-time",120000,"Separated","Quebec"
"Liberal Party","Canadian citizen",60,"A woman","Bachelor's degree","Working for pay full-time",150000,"Married","Ontario"
"Liberal Party","Canadian citizen",40,"A woman","Completed technical, community college, CEGEP, College Classique","Disabled",50000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",45,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",110000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",70,"A woman","Bachelor's degree","Retired",98000,"Married","British Columbia"
"Conservative Party","Canadian citizen",70,"A man","Completed secondary/ high school","Retired",32500,"Married","British Columbia"
"ndp","Canadian citizen",59,"A man","Completed secondary/ high school","Retired",24499,"Widowed","Ontario"
"Liberal Party","Canadian citizen",61,"A woman","Some technical, community college, CEGEP, College Classique","Retired",115000,"Married","British Columbia"
"Conservative Party","Canadian citizen",40,"A man","Bachelor's degree","Working for pay full-time",50000,"Married","Ontario"
"Conservative Party","Canadian citizen",69,"A man","Some technical, community college, CEGEP, College Classique","Retired",20000,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",60,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",55000,"Never Married","British Columbia"
"Bloc Québécois","Canadian citizen",63,"A man","Bachelor's degree","Working for pay part-time",30000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",68,"A man","Completed technical, community college, CEGEP, College Classique","Retired",120000,"Married","Quebec"
"Bloc Québécois","Canadian citizen",62,"A man","Some technical, community college, CEGEP, College Classique","Working for pay part-time",30000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",32,"A man","Professional degree or doctorate","Working for pay full-time",275000,"Never Married","Ontario"
"ndp","Canadian citizen",66,"A man","Some university","Retired",41300,"Married","Quebec"
"ndp","Canadian citizen",26,"A woman","Some secondary/ high school","Working for pay full-time",60000,"Never Married","Saskatchewan"
"Conservative Party","Canadian citizen",71,"A man","Completed secondary/ high school","Working for pay part-time",45000,"Married","Saskatchewan"
"ndp","Canadian citizen",34,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",90000,"Married","Ontario"
"Green Party","Canadian citizen",36,"A man","Master's degree","Working for pay full-time",5000,"Married","Ontario"
"Green Party","Canadian citizen",51,"A woman","Some university","Working for pay full-time",124000,"Married","New Brunswick"
"Conservative Party","Canadian citizen",53,"A woman","Some university","Retired",2e+05,"Married","British Columbia"
"Conservative Party","Canadian citizen",61,"A woman","Completed secondary/ high school","Working for pay full-time",59000,"Never Married","Manitoba"
"Conservative Party","Canadian citizen",55,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",80000,"Married","Alberta"
"Conservative Party","Canadian citizen",58,"A woman","Some university","Working for pay full-time",150000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",65,"A man","Some technical, community college, CEGEP, College Classique","Retired",89000,"Married","British Columbia"
"Conservative Party","Canadian citizen",69,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",41000,"Married","Alberta"
"Liberal Party","Canadian citizen",58,"A man","Bachelor's degree","Self employed (with or without employees)",1e+05,"Living with a partner","Quebec"
"Green Party","Canadian citizen",65,"A woman","Completed secondary/ high school","Working for pay full-time",40000,"Divorced","Ontario"
"Liberal Party","Canadian citizen",48,"A woman","Some technical, community college, CEGEP, College Classique","Disabled",10000,"Divorced","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",33,"A man","Master's degree","Working for pay full-time",81000,"Married","Alberta"
"Liberal Party","Canadian citizen",24,"A man","Completed secondary/ high school","Working for pay full-time",85000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",59,"A man","Some technical, community college, CEGEP, College Classique","Working for pay part-time",18000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",79,"A woman","Some university","Retired",65000,"Married","Quebec"
"Liberal Party","Canadian citizen",67,"A man","Some university","Retired",65000,"Married","Quebec"
"ndp","Canadian citizen",37,"A man","Completed secondary/ high school","Working for pay part-time",35000,"Separated","Alberta"
"Bloc Québécois","Canadian citizen",66,"A man","Master's degree","Retired",85000,"Married","Quebec"
"Liberal Party","Canadian citizen",28,"A woman","Some technical, community college, CEGEP, College Classique","Unemployed/ looking for work",0,"Never Married","British Columbia"
"Liberal Party","Canadian citizen",42,"A man","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",24000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",50,"A woman","Completed technical, community college, CEGEP, College Classique","Disabled",40000,"Never Married","Manitoba"
"ndp","Canadian citizen",43,"A man","Master's degree","Working for pay full-time",99000,"Separated","Ontario"
"Liberal Party","Canadian citizen",49,"A woman","Bachelor's degree","Working for pay full-time",80000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",37,"A man","Master's degree","Working for pay full-time",1e+05,"Married","Ontario"
"Conservative Party","Canadian citizen",33,"A woman","Completed secondary/ high school","Working for pay full-time",70000,"Living with a partner","New Brunswick"
"Conservative Party","Canadian citizen",19,"A man","Some university","Student",15000,"Never Married","New Brunswick"
"Conservative Party","Canadian citizen",60,"A man","Master's degree","Working for pay part-time",150000,"Married","Alberta"
"Liberal Party","Canadian citizen",32,"A man","Completed secondary/ high school","Student",89000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",26,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",21000,"Never Married","Ontario"
"ndp","Canadian citizen",28,"A woman","Bachelor's degree","Working for pay full-time",95000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",38,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",125000,"Living with a partner","Alberta"
"Liberal Party","Canadian citizen",47,"A woman","Professional degree or doctorate","Working for pay full-time",135000,"Living with a partner","Quebec"
"ndp","Canadian citizen",60,"A woman","Bachelor's degree","Retired",52000,"Married","British Columbia"
"Liberal Party","Canadian citizen",49,"A woman","Bachelor's degree","Working for pay full-time",90000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",30,"A man","Some secondary/ high school","Working for pay part-time",26000,"Never Married","Quebec"
"Bloc Québécois","Canadian citizen",63,"A woman","Completed secondary/ high school","Working for pay full-time",24000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",28,"A woman","Bachelor's degree","Unemployed/ looking for work",25000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",40,"A man","Bachelor's degree","Working for pay full-time",75000,"Married","Quebec"
"ndp","Canadian citizen",66,"A woman","Some technical, community college, CEGEP, College Classique","Retired",40000,"Living with a partner","Alberta"
"People's Party","Canadian citizen",44,"A man","Some university","Working for pay part-time",15000,"Married","Ontario"
"Liberal Party","Canadian citizen",32,"A woman","Bachelor's degree","Working for pay full-time",170000,"Married","Ontario"
"Liberal Party","Canadian citizen",34,"A man","No schooling","Caring for a family",30000,"Never Married","Quebec"
"Bloc Québécois","Canadian citizen",62,"A woman","Bachelor's degree","Retired",1e+05,"Married","Quebec"
"ndp","Canadian citizen",27,"A woman","Bachelor's degree","Caring for a family",78000,"Married","Ontario"
"Liberal Party","Canadian citizen",74,"A man","Bachelor's degree","Retired",60000,"Married","British Columbia"
"ndp","Canadian citizen",26,"A woman","Completed secondary/ high school","Working for pay full-time",51000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",72,"A woman","Some university","Retired",40000,"Married","Ontario"
"Conservative Party","Canadian citizen",69,"A man","Completed technical, community college, CEGEP, College Classique","Retired",89000,"Never Married","Manitoba"
"Conservative Party","Canadian citizen",37,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",52000,"Married","Saskatchewan"
"ndp","Canadian citizen",18,"A man","Completed secondary/ high school","Student",90000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",38,"A man","Bachelor's degree","Working for pay full-time",120000,"Married","Alberta"
"Conservative Party","Canadian citizen",66,"A man","Completed technical, community college, CEGEP, College Classique","Retired",76000,"Divorced","British Columbia"
"ndp","Canadian citizen",54,"A man","Bachelor's degree","Working for pay full-time",71000,"Never Married","Yukon"
"Bloc Québécois","Canadian citizen",61,"A man","Master's degree","Retired",170000,"Living with a partner","Quebec"
"ndp","Canadian citizen",32,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",55000,"Living with a partner","Saskatchewan"
"Bloc Québécois","Canadian citizen",63,"A woman","Bachelor's degree","Retired",84000,"Married","Quebec"
"Bloc Québécois","Canadian citizen",60,"A man","Some university","Working for pay full-time",180000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",44,"A woman","Bachelor's degree","Disabled",30000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",87,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",110000,"Married","Quebec"
"Conservative Party","Canadian citizen",64,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",32000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",61,"A man","Some university","Retired",2e+05,"Married","Ontario"
"Conservative Party","Canadian citizen",64,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",75000,"Married","Alberta"
"Liberal Party","Canadian citizen",44,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",105000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",55,"A woman","Bachelor's degree","Other (please specify)",36000,"Never Married","Quebec"
"ndp","Canadian citizen",34,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",97000,"Never Married","British Columbia"
"Conservative Party","Canadian citizen",64,"A man","Completed secondary/ high school","Retired",49000,"Married","Quebec"
"Conservative Party","Canadian citizen",28,"A woman","Completed secondary/ high school","Unemployed/ looking for work",60000,"Living with a partner","British Columbia"
"ndp","Canadian citizen",29,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",40000,"Living with a partner","Ontario"
"Another party (please specify)","Canadian citizen",37,"A man","Some university","Working for pay full-time",150000,"Married","Alberta"
"Conservative Party","Canadian citizen",57,"A woman","Some university","Retired",70000,"Widowed","New Brunswick"
"ndp","Canadian citizen",65,"A woman","Some technical, community college, CEGEP, College Classique","Retired",1e+05,"Married","Ontario"
"Liberal Party","Canadian citizen",42,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",90000,"Married","Ontario"
"ndp","Canadian citizen",33,"A woman","Bachelor's degree","Working for pay full-time",37000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",30,"A man","Some university","Working for pay full-time",150000,"Living with a partner","Ontario"
"Green Party","Canadian citizen",47,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",170000,"Living with a partner","British Columbia"
"Conservative Party","Canadian citizen",44,"A man","Completed secondary/ high school","Working for pay full-time",48800,"Separated","Quebec"
"Liberal Party","Canadian citizen",63,"A man","Completed secondary/ high school","Working for pay full-time",22000,"Divorced","Ontario"
"Bloc Québécois","Canadian citizen",43,"A woman","Bachelor's degree","Working for pay full-time",2e+05,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",31,"A woman","Professional degree or doctorate","Working for pay full-time",130000,"Married","Saskatchewan"
"ndp","Canadian citizen",74,"A woman","Bachelor's degree","Retired",81000,"Married","Saskatchewan"
"Conservative Party","Canadian citizen",59,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",2e+05,"Married","British Columbia"
"Liberal Party","Canadian citizen",58,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",60000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",43,"A woman","Professional degree or doctorate","Working for pay full-time",195000,"Living with a partner","Ontario"
"Bloc Québécois","Canadian citizen",48,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",25000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",58,"A woman","Completed secondary/ high school","Working for pay full-time",50000,"Divorced","British Columbia"
"Green Party","Canadian citizen",36,"A woman","Bachelor's degree","Working for pay full-time",112000,"Married","British Columbia"
"Bloc Québécois","Canadian citizen",50,"A woman","Bachelor's degree","Working for pay full-time",120000,"Married","Quebec"
"ndp","Canadian citizen",72,"A woman","Master's degree","Retired",1e+05,"Married","Alberta"
"Bloc Québécois","Canadian citizen",44,"A man","Bachelor's degree","Working for pay full-time",165000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",40,"A woman","Bachelor's degree","Working for pay full-time",101000,"Never Married","Alberta"
"Conservative Party","Canadian citizen",30,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",72000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",99,"A woman","Completed secondary/ high school","Retired",34000,"Married","Manitoba"
"ndp","Canadian citizen",36,"A woman","Professional degree or doctorate","Working for pay full-time",1e+05,"Living with a partner","Ontario"
"Green Party","Canadian citizen",39,"A woman","Bachelor's degree","Working for pay part-time",88000,"Living with a partner","Alberta"
"Conservative Party","Canadian citizen",63,"A man","Master's degree","Working for pay full-time",77500,"Married","Ontario"
"Conservative Party","Canadian citizen",32,"A woman","Bachelor's degree","Working for pay full-time",125000,"Living with a partner","Manitoba"
"Conservative Party","Canadian citizen",44,"A man","Bachelor's degree","Working for pay full-time",62000,"Married","Quebec"
"Conservative Party","Canadian citizen",39,"A man","Bachelor's degree","Working for pay full-time",68000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",71,"A man","Some technical, community college, CEGEP, College Classique","Working for pay part-time",62000,"Divorced","British Columbia"
"ndp","Canadian citizen",64,"A woman","Some technical, community college, CEGEP, College Classique","Retired",72000,"Married","Quebec"
"ndp","Canadian citizen",49,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",90000,"Married","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",61,"A woman","Completed secondary/ high school","Retired",30000,"Divorced","Alberta"
"Bloc Québécois","Canadian citizen",62,"A man","Bachelor's degree","Retired",81000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",71,"A man","Professional degree or doctorate","Retired",66000,"Married","Alberta"
"Liberal Party","Canadian citizen",41,"A woman","Bachelor's degree","Caring for a family",110000,"Married","Ontario"
"Conservative Party","Canadian citizen",65,"A woman","Completed secondary/ high school","Retired",23000,"Married","British Columbia"
"Conservative Party","Canadian citizen",31,"A woman","Master's degree","Working for pay full-time",105000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",60,"A woman","Master's degree","Retired",125000,"Married","British Columbia"
"Liberal Party","Canadian citizen",52,"A woman","Bachelor's degree","Working for pay full-time",190000,"Married","Ontario"
"ndp","Canadian citizen",24,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",35000,"Never Married","British Columbia"
"ndp","Canadian citizen",33,"A man","Some university","Working for pay full-time",98000,"Married","Ontario"
"People's Party","Canadian citizen",21,"A woman","Completed secondary/ high school","Student",50000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",52,"A man","Bachelor's degree","Working for pay full-time",1e+05,"Never Married","Manitoba"
"Conservative Party","Canadian citizen",55,"A woman","Completed secondary/ high school","Disabled",140000,"Married","Alberta"
"Conservative Party","Canadian citizen",33,"A man","Professional degree or doctorate","Working for pay full-time",90000,"Married","Ontario"
"Another party (please specify)","Canadian citizen",66,"A man","Completed secondary/ high school","Retired",11000,"Never Married","Ontario"
"ndp","Canadian citizen",82,"A woman","Some technical, community college, CEGEP, College Classique","Retired",40000,"Widowed","Alberta"
"ndp","Canadian citizen",54,"A woman","Bachelor's degree","Working for pay full-time",140000,"Married","Manitoba"
"Liberal Party","Canadian citizen",18,"A woman","Some technical, community college, CEGEP, College Classique","Student",50000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",68,"A woman","Some university","Retired",1e+05,"Married","Quebec"
"Bloc Québécois","Canadian citizen",31,"A man","Bachelor's degree","Working for pay full-time",156000,"Living with a partner","Quebec"
"ndp","Canadian citizen",69,"A man","Bachelor's degree","Retired and working for pay",53000,"Married","British Columbia"
"Conservative Party","Canadian citizen",55,"A woman","Some secondary/ high school","Working for pay full-time",35000,"Divorced","Alberta"
"Green Party","Canadian citizen",40,"A woman","Bachelor's degree","Working for pay full-time",50000,"Living with a partner","Ontario"
"Bloc Québécois","Canadian citizen",43,"A man","Bachelor's degree","Caring for a family",120000,"Married","Quebec"
"ndp","Canadian citizen",48,"A woman","Bachelor's degree","Working for pay full-time",99000,"Married","British Columbia"
"Liberal Party","Canadian citizen",49,"A woman","Professional degree or doctorate","Working for pay full-time",450000,"Married","Ontario"
"Liberal Party","Canadian citizen",38,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",90000,"Living with a partner","Ontario"
"Bloc Québécois","Canadian citizen",38,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",76000,"Living with a partner","Quebec"
"Bloc Québécois","Canadian citizen",31,"A man","Master's degree","Working for pay full-time",98900,"Married","Quebec"
"ndp","Canadian citizen",72,"A woman","Professional degree or doctorate","Retired",70000,"Living with a partner","British Columbia"
"Liberal Party","Canadian citizen",48,"A man","Bachelor's degree","Working for pay full-time",73000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",64,"A woman","Some university","Retired and working for pay",38000,"Divorced","Alberta"
"Conservative Party","Canadian citizen",63,"A man","Bachelor's degree","Retired",150000,"Married","British Columbia"
"Conservative Party","Canadian citizen",72,"A man","Some university","Retired",90000,"Married","British Columbia"
"Liberal Party","Canadian citizen",25,"A man","Completed elementary school","Working for pay full-time",20000,"Separated","Quebec"
"Bloc Québécois","Canadian citizen",75,"A man","Completed secondary/ high school","Retired",90000,"Married","Quebec"
"Conservative Party","Canadian citizen",37,"A man","Bachelor's degree","Working for pay full-time",1e+05,"Living with a partner","Alberta"
"Liberal Party","Canadian citizen",77,"A man","Some secondary/ high school","Retired",7100,"Married","British Columbia"
"Liberal Party","Canadian citizen",39,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",680000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",54,"A woman","Some university","Disabled",15000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",42,"A woman","Master's degree","Unemployed/ looking for work",125000,"Married","Ontario"
"Conservative Party","Canadian citizen",52,"A woman","Completed secondary/ high school","Working for pay full-time",48000,"Married","Alberta"
"ndp","Canadian citizen",40,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",1e+05,"Married","British Columbia"
"Conservative Party","Canadian citizen",67,"A man","Completed secondary/ high school","Working for pay full-time",60000,"Divorced","Ontario"
"Bloc Québécois","Canadian citizen",49,"A woman","Master's degree","Self employed (with or without employees)",37500,"Never Married","Quebec"
"Liberal Party","Canadian citizen",55,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",67000,"Divorced","Ontario"
"Liberal Party","Canadian citizen",37,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",84000,"Never Married","Ontario"
"Bloc Québécois","Canadian citizen",47,"A woman","Professional degree or doctorate","Working for pay full-time",3e+05,"Never Married","Quebec"
"Green Party","Canadian citizen",32,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",45000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",64,"A man","Completed secondary/ high school","Self employed (with or without employees)",145000,"Married","Alberta"
"ndp","Canadian citizen",34,"A man","Bachelor's degree","Working for pay full-time",1e+05,"Married","Quebec"
"Liberal Party","Canadian citizen",25,"A man","Completed secondary/ high school","Student",15000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",21,"A woman","Completed secondary/ high school","Working for pay full-time",45000,"Never Married","Manitoba"
"Conservative Party","Canadian citizen",77,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",24000,"Widowed","Ontario"
"Conservative Party","Canadian citizen",37,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",76000,"Separated","British Columbia"
"Conservative Party","Canadian citizen",52,"A man","Some university","Retired",201000,"Married","Ontario"
"Conservative Party","Canadian citizen",65,"A woman","Completed secondary/ high school","Retired",64000,"Married","Ontario"
"Conservative Party","Canadian citizen",80,"A man","Master's degree","Self employed (with or without employees)",550000,"Married","Alberta"
"ndp","Canadian citizen",42,"A woman","Completed secondary/ high school","Working for pay full-time",40000,"Never Married","Manitoba"
"Liberal Party","Canadian citizen",52,"A man","Bachelor's degree","Working for pay full-time",1e+05,"Married","Ontario"
"Liberal Party","Canadian citizen",30,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Bachelor's degree","Disabled",20000,"Married","Alberta"
"ndp","Canadian citizen",73,"A man","Professional degree or doctorate","Retired",2e+05,"Married","British Columbia"
"Liberal Party","Canadian citizen",68,"A woman","Bachelor's degree","Retired",82000,"Married","British Columbia"
"ndp","Canadian citizen",24,"A woman","Completed secondary/ high school","Working for pay full-time",456700,"Living with a partner","Ontario"
"ndp","Canadian citizen",60,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",50000,"Married","Ontario"
"Liberal Party","Canadian citizen",33,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",82000,"Married","Ontario"
"Liberal Party","Canadian citizen",75,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",58000,"Married","British Columbia"
"Liberal Party","Canadian citizen",69,"A man","Master's degree","Retired",105000,"Married","Quebec"
"Conservative Party","Canadian citizen",67,"A man","Some technical, community college, CEGEP, College Classique","Retired",22000,"Married","Ontario"
"Conservative Party","Canadian citizen",42,"A woman","Bachelor's degree","Working for pay part-time",130000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",41,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",91000,"Married","Ontario"
"ndp","Canadian citizen",65,"A woman","Bachelor's degree","Self employed (with or without employees)",80000,"Widowed","Quebec"
"Conservative Party","Canadian citizen",78,"A man","Master's degree","Self employed (with or without employees)",1e+05,"Married","British Columbia"
"Green Party","Canadian citizen",31,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",16000,"Never Married","New Brunswick"
"Liberal Party","Canadian citizen",36,"A woman","Master's degree","Working for pay full-time",50000,"Married","Quebec"
"Bloc Québécois","Canadian citizen",68,"A man","Bachelor's degree","Retired",95000,"Living with a partner","Quebec"
"Green Party","Canadian citizen",41,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",130000,"Married","British Columbia"
"ndp","Canadian citizen",42,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",72000,"Living with a partner","Prince Edward Island"
"Bloc Québécois","Canadian citizen",51,"A woman","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",60000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",63,"A man","Completed secondary/ high school","Caring for a family",50000,"Living with a partner","Prince Edward Island"
"Liberal Party","Canadian citizen",63,"A woman","Some technical, community college, CEGEP, College Classique","Retired",10000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",57,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",155000,"Married","Ontario"
"Conservative Party","Canadian citizen",34,"A man","Professional degree or doctorate","Working for pay full-time",85000,"Married","Alberta"
"Liberal Party","Canadian citizen",46,"A man","Master's degree","Working for pay full-time",99000,"Married","Alberta"
"Conservative Party","Canadian citizen",68,"A man","Completed secondary/ high school","Retired",53000,"Married","Quebec"
"Conservative Party","Canadian citizen",41,"A woman","Bachelor's degree","Working for pay full-time",2e+05,"Married","Ontario"
"Liberal Party","Canadian citizen",63,"A man","Some technical, community college, CEGEP, College Classique","Retired",20000,"Divorced","Quebec"
"Bloc Québécois","Canadian citizen",37,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",75000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",71,"A man","Completed secondary/ high school","Retired",50000,"Married","Ontario"
"Liberal Party","Canadian citizen",29,"A woman","Completed secondary/ high school","Working for pay full-time",74000,"Never Married","Quebec"
"ndp","Canadian citizen",34,"A woman","Master's degree","Working for pay full-time",99000,"Married","Ontario"
"Conservative Party","Canadian citizen",58,"A woman","Master's degree","Caring for a family",120000,"Married","Ontario"
"Green Party","Canadian citizen",71,"A woman","Some technical, community college, CEGEP, College Classique","Retired and working for pay",25000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",56,"A man","Bachelor's degree","Working for pay full-time",140000,"Married","Ontario"
"ndp","Canadian citizen",45,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",29000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",31,"A man","Bachelor's degree","Working for pay full-time",213000,"Never Married","Nunavut"
"Green Party","Canadian citizen",50,"A man","Bachelor's degree","Working for pay full-time",94000,"Divorced","Quebec"
"Liberal Party","Canadian citizen",63,"A woman","Some university","Retired",69000,"Married","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",49,"A man","Master's degree","Working for pay full-time",125000,"Married","New Brunswick"
"ndp","Canadian citizen",53,"A woman","Completed secondary/ high school","Caring for a family",24000,"Married","Ontario"
"Liberal Party","Canadian citizen",49,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",50000,"Married","Quebec"
"Liberal Party","Canadian citizen",34,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",30000,"Never Married","Alberta"
